ÝL ADI,ÝLÇE ADI,"DESTEK BÝRÝMÝNE NASIL 
ULAÞILABÝLÝR?
TELEFON NUMARASI 
","BÝLGÝLERÝN GERÇEKLÝÐÝ TELEFONLA
TEYÝT EDÝLDÝ MÝ?",HANGÝ ALANLARDA DESTEK SAÐLIYORLAR 
Ýzmir,Menemen,444 80 08,evet,"65 yaþ ve üzeri için market ve saðlýk alýþveriþ desteði. 
65 yaþ üstü, iþsiz kalmýþ ve diðer dezavantajlý gruplara gýda yardýmý. 
Özel durumlarda nakit yardýmý. 
Aþevinden günlük çorba daðýtýmý. 
"
Ýzmir,Ödemiþ,0232 544 90 97,Evet,"VEFA çalýþmasý kapsmamýnda 65 yaþ üzerine destek. 
Ýhtiyaç sahiplerine aþevinde günde 2 öðün yemek veriliyor. "
Ýzmir,Seferihisar,444 7 743,Evet,"""65 yaþ üstü ve engelli vatandaþlara gýda paketi. Evden çýkamayacak olanlarýn 
alýþveriþleri yapýlýyor.
65 yaþ üstü, kronik rahatsýzlýðý olan, engelli vatandaþlara dezenfektan daðýtýlýyor. ""       "
Ýzmir,Konak,444 35 66,Evet,Erzak ve sýcak yemek daðýtýmý yapýlmýþ. 
Ýzmir,Menderes,"0 232 700 00 00
0530 708 47 47",Evet,Ýhtiyaç sahiplerine erzak yardýmý yapýlýyor. 
Ýzmir,Çiðli,"0 232 376 99 80
0 538 011 47 47-Whatsapp",Evet,"65 yaþ üstü ve evden çýkamayan vatandaþlarýn alýþveriþleri yapýlyor, günde 1 kez çorba servisi yapýlýyor. 
Vefa çalýþmasý kapsamýnda kanser gibi aðýr hastalýklarý olanlarýn hastanelere ulaþýmý saðlanýyor. "
Ýzmir,Gaziemir,0232 999 0 251  ,Evet,"Ýhtiyaç sahiplerine gýda desteði. 
Sosyal market açýlacak. 
"
Ýzmir,Bayraklý,0232 477 20 00,Evet,"Ýhtiyaç sahiplerine erzak yardýmý yapýlýyor. 
Bayraklý Belediyesi, koronavirüs salgýnýna karþý alýnan tedbirler kapsamýnda, 
evlerinde kalmasý gereken 65 yaþ ve üzeri vatandaþlar ile kronik rahatsýzlýðý 
bulunanlarýn alýþveriþ ihtiyaçlarýný karþýlýyor. Belediye ekipleri, mesai saatleri içinde 
market veya pazardan alýnacaklar listesini bildiren vatandaþlarýn ihtiyaçlarýný, ücreti 
karþýlýðýnda evlerine teslim ediyor. Ekipler, ayrýca vatandaþýn ilaçlarýný alýp, faturasýný da ödüyor.

"
Ýzmir,Tire,"
0232 512 33 21 ",Evet,"Kriterleri saðlayanlara nakdi yardým yapýlýyor.
Aþevi evden çýkamayan ihtiyaç sahiplerinin evlerine sýcak yemek servisi yapýyor. 
Kýyafet yardýmý yapýlýyor. "
Ýzmir,Torbalý,"0232 856 66 66
 ",Evet,"
65 yaþ üstü öncelikli olmak üzere ihtiyacý olan kiþilere evde saðlýk hizmetleri veriliyor 
ve hastaneye nakli konusunda destek olunuyor. 
Kaymakamlýkla koordineli gerçekleþtirilen gýda yardýmý. 
Vefa çalýþmasý kapsamýnda alýþveriþ desteði saðlanýyor. "
Ýzmir,Urla,0232 754 10 88,Evet,Telefonda bilgi vermediler. Yazýlý bilgi talebi istediler. 
Ýzmir,Beydað,"0232 592 60 05           
",Evet,Çalýþma yapýlmýyor. 
Kastamonu,Ýl belediyesi,"153 Hilal Masa
 0366 153 00 00",Evet,"Zabýta Ekipleri’nin 65 yaþ üzeri vatandaþlarýn market alýþveriþi,  Evde Yaþlý Bakým Merkezi’nin ihtiyaç sahibi yaþlýlara ücretsiz gýda ve yemek daðýtýmý"
Kocaeil,Kandýra Valiliði,4440191,Evet,"Erzak kolisi veriyorlar ama kolileri azalmýþ. 
VEFA ile iþbirliðiyle 65 yaþ üstüne destek saðlanýyor. 
Dilekçeyle baþvuranlara hasta bezi temin ediyorlar. "
Kocaeli,Ýl belediyesi,"Lojistik Destek 0531 349 1138                           
Logistik Destek için: 156          
Uzman psikologlar ile görüntülü konuþmak için 0531 382 38 05, 0531 382 38 11,  531 382 38 12, 0531 382 38 13 ve 0531 382 38 19 ",Evet,"Gelirini kaybeden, vatandaþlar için; herhangi bir evrak almaksýzýn ""Gýda ve Hijyen Destek Yardým Paketi"" veriliyor. 
Ýkametten ayrýlma kýsýtlamasý olan vatandaþlar için yardým.     
Gebze Teknik Üniversitesi'nde öðrenim gören ihtiyaç sahibi öðrencilere uzaktan eðitim için ücretsiz internet verilecek. 
Sokak hayvanlarý besleme.
Saðlýk ve Sosyal Hizmetler Daire Baþkanlýðý bünyesindeki Geniþ Ailem projesi 
kapsamýnda hizmet veren uzman psikologlar ile görüntülü görüþme desteði."
Kocaeli,Körfez,0262 528 2302,Evet,Kronik hastalýðý olan ve 65 yaþ üstü ihtiyaçlarýna destek olunuyor.
Kocaeli,Gölcük,0549 7352684,Evet,"65 yaþ üstü, yalnýz yaþayan vatandaþlar ve kronik rahatsýzlýðý olan vatandaþlar için Ýlaç yardýmý, erzak kolisi, maaþ çekme, saðlýk kontrolleri konularýnda yardým yapýlýyor."
Kocaeli,Kandýra,"Alo Vefa Hattý için 112,155,156
Evde Bakým Ýçin 02624443833",Evet,"65 yaþ üstü, yalnýz yaþayan vatandaþlar ve kronik rahatsýzlýðý olan vatandaþlar için Ýlaç yardýmý, erzak kolisi, maaþ çekme, saðlýk kontrolleri konularýnda yardým yapýlýyor."
Kocaeli,Karamürsel,"0(262) 452 10 25
0(262) 452 12 21
0(262) 452 54 00",Evet,"65 yaþ üstü vatandaþlarýn ve kronik rahatsýzlýðý olan vatandaþlarýn market, pazar,ilaç alýmý, maaþ çekimi gibi halledilmesi gereken tüm ihtiyaçlarýný karþýlýyorlar. Ýhtiyaç sahibi tüm vatandaþlarada gýda yardýmýnda bulunuyorlar."
Kocaeli,Baþiskele,"Vefa Hattý için 112/ Evde Bakým için 0 (262) 319 5028, 0 (262) 319 1923,0 (262) 319 2073, 0 (262) 319 5081, 0 (262) 319 2081/  Gýda kolisi ve belediye için 4444110",Evet,"Belediye saðlýk çalýþanlarýna meyve desteði sunuyor ayrýca ihtiyaç sahiplerine gýda desteði yapýyor. Vefa destek hattý kaymakamlýk tarafýndan destekleniyor ve 65 yaþ üstü vatandaþlara market, eczane, maaþ çekimi gibi hizmetleri sunuyor. Ayrýca evde bakýmla saðlýk kontrolleri  hizmeti sunuyor."
Konya,Akþehir,444 9 153,Evet,"Belediye ve Kaymakamlýk bir ekip oluþturmuþ ve bu ekip dýþarý çýkmayacak durumda olanlarýn
alýþveriþlerini ücret karþýlýðýnda yapýyor. Kýzýlay tarafýndan ücretsiz bir þekilde erzak yardýmý yapýlýyor ve
belediye ekonomik durumu kötü olanlara belli araþtýrmalar sonucunda nakit yardýmý da yapýyor."
Konya,Bozkýr,332 426 11 11,Telefon Görüþmesi,Vefa kapsamýnda 65 yaþ üstü insanlarýn alýþveriþlerini ücret karþýlýðýnda yapýyorlar.
Konya,Çumra,0 332 447 1230,Evet," Alým gücü olmayan, 65 yaþüstü, kronik hasta, engelli bireylere gýda yardýmýnda bulunuyor.
 Ücret dahilinde ihtiyaç alýþveriþleri yapýlýyor."
Konya,Ereðli / Konya,"(0332) 710 07 07
+90 332 713 15 18
Whatsapp 0 552 710 07 07 Alo Belediye",Evet,"Vefa çalýþmasý kapsamýnda ihtiyaç sahibi, evden çýkamayan, kronik hasta ve yaþlý kiþilere gýda kolisi yardýmý yapýlýyor."
Konya,Ilgýn,"(0332) 881 69 31
05435752882",Evet,"
Esnaflara maddi yardým yapýlýyor.
65 yaþüstü, kronik hasta, engelli, evden çýkamayan ve maddi durum olmayan kiþiler için belediye 
ekibi gýda  ve ihtiyaç alýþveriþi yardýmý yapýyor"
Konya,Kulu,444 9 584,Evet,Belediye herhangi bir yardým yapmýyor. Kaymakamlýk binasýnda Sosyal Yardýmlaþma birimi gýda yardýmý yapýyor.
Manisa,Akhisar,0236 413 5991,Evet.,"Herhangi bir kýsýtlama olmaksýzýn gýda yardýmý yapýlmaktadýr. 
Belediyeden form doldurmak gereklidir."
Manisa,Alaþehir,444 8 653,Evet.,"Gýda yardýmý, ilaçlama ve taleplerinin karþýlanmasý.
65 yaþ üstü vatandaþlarýn taleplerinin karþýlanmasý."
Manisa,Demirci,0.236.4621322-23,Evet.,"Sadece kaymakamlýðýn saðladýðý yardýmlarýn kaymakamlýðýn 
talebi doðrultusunda halka ulaþtýrýlmasý. "
Manisa,Gördes,0 (236) 547 15 20,Evet.,"Sadece kaymakamlýðýn saðladýðý yardýmlarýn 
kaymakamlýðýn talebi doðrultusunda halka ulaþtýrýlmasý"
Manisa,Kýrkaðaç,(0236) 588 10 22,Evet.,"Sadece kaymakamlýðýn saðladýðý yardýmlarýn kaymakamlýðýn 
talebi doðrultusunda halka ulaþtýrýlmasý.
"
Manisa,Ýl belediyesi,0 236 231 45 80,Evet. ,Sadece valiliðin yönlendirmelerinin gerçekleþtirilmesi.
Manisa,Salihli,(0236) 713 26 40,Evet. ,Bakanlýktan gelen yazý nedeniyle yardým saðlanmýyor.
Manisa,Saruhanlý,0 236 357 1084,Evet.,"Kaymakamlýkla koordine bir þekilde hareket edilerek kaymakamlýðýn
 yardýmlarýna destek olunmasý"
Manisa,Ahmetli,0236) 768 13 00,Evet.,Kaymakamlýkla koordine bir þekilde hareket edilerek kaymakamlýðýn yardýmlarýna destek olunmasý
Manisa,Gölmarmara,(0236) 515 10 02,Evet.,Kaymakamlýkla koordine bir þekilde hareket edilerek kaymakamlýðýn yardýmlarýna destek olunmasý
Manisa,Köprübaþý / Manisa,(236) 571-2007,Evet.,Kaymakamlýkla koordine bir þekilde hareket edilerek kaymakamlýðýn yardýmlarýna destek olunmasý
Manisa,Þehzadeler,236 250 11 00,Evet.,Sadece 65 yaþ üstü vatandaþlarýn alýþveriþ ihtiyaçlarýnýn karþýlanmasý.
Manisa,Yunusemre,444 62 09,Evet.,Doðrudan bir yardým saðlanmamaktadýr.
Muðla,Bodrum,0252 316 1009 ,Evet,"Gýda yardýmý 

Eldiven, maske, dezenfektan yardýmý 

Market alýþveriþ desteði (alýþveriþ faturasý ödenmesi koþulu ile) 

Ýlaç ve Muayene yardýmý (Bodrum Ýlçe Saðlýk Müdürlüðü 0252 316 3288)

Maaþ çekme yardýmý (Bodrum Ýlçe Milli Eðitim Müdürlüðü 0252 316 1034)"
Muðla,Datça,0252 712 30 98,Evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Fethiye,0252 614 10 20 ,Evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Köyceðiz,0252 262 40 05 ,Evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Marmaris,0850 888 48 48,evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Milas,0252 512 10 25,Evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Ýl belediyesi,"444 48 01
0252 214 14 06",evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Ula,0252 242 30 08,Evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Yataðan,0252 572 59 00,Evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Dalaman,0252 692 20 10,evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Ortaca,0252 282 50 49 ,Evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Kavaklýdere,0252 592 70 26,Evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Menteþe,0252 214 48 80,Evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla,Seydikemer, 0252 656 10 75,evet,"65 yaþ üstü vatandaþlar için gýda yardýmý belediyeler tarafýndan saðlanan hizmet.
Bunun dýþýnda VEFA kapsamýnda TR çapýnda saðlanan hizmetler standart: ücreti kapsamýnda alýþveriþ, ilaç, muayene, bedava maske- eldiven-dezenfektan yardýmý yapýlýyor. 112 no.lu hatta ulaþmalarý gerekli. 
Ýl/ lçe Emniyet ve Miili Eðitim Müdürlükleri ise maaþ çekme yardýmý saðlýyor. "
Muðla ,Bodrum ,0252 316 10 09,Evet,1)Gýda yardýmý 
Sakarya,Ýl belediyesi,Çözüm Masasý153 44 44 054    0264 289 30 00       ,Evet,Sosyal Hizmetler Þube Müdürlüðü ekipleri tarafýndan ihtiyaç sahibi vatandaþlarýn evlerine gýda ve hijyen teslim ediliyor.
Samsun,Ýl belediyesi,0 (362) 431 60 90,Evet,Bu süreçte 65 yaþ üstüne evde bakým hizmeti veriliyor. 65 yaþ ve üstü ile kronik hastalýðý bulunan vatandaþlarýn erzak sipariþleri eve teslim ediliyor.
Zonguldak,Ýl belediyesi,0372 259 67 67,Evet,"Sokak hayvanlarý besleme. Valilik bünyesinde oluþturulan ‘Vefa Sosyal Destek Grubu’na dahil Beldiye ekipleri, 65 yaþ üstü veya kronik rahatsýzlýðý olan vatandaþlarýn taleplerini karþýlýyor, ihtiyaçlarýný kapýlarýna kadar temin ediyor."
Adýyaman,Ýl belediyesi,(0416) 216 17 20,Evet,"Ýhtiyaç sahiblerine- fakirlik belgesi olmasý ve SGK giriþi olmamasý gerekiyor- gýda kolisi yardýmý. 
"
Afyonkarahisar,Ýl belediyesi,0272 2144255,Evet,"Destek taleplerine yönelik belediye özel bir çalýþma yapmýyor, 112'ye yönlendiriyor. 
"
Bilecik,Ýl belediyesi,444 88 58,evet,"Belirli noktalarda maske ve dezenfektan daðýtýmý yapýlýyor. 
Ýhtiyaç sahibi kiþilere kriterleri karþýlamasý durumunda gýda çeki veriliyor. 
65 yaþ üstü ve engellilere koli yardýmý yapýldý. "
Bitlis,Ýl belediyesi,0434 228 63 10,Evet ,"Ýþini kaybeden ve çalýþamayanlar, daha önce yardým alanlar, kronik hastalýðý olanlar için erzak yardýmý yapýlýyor. 


"
Bolu,Ýl belediyesi,444 26 58,Evet,"Leyla Beykoz-Halkla iliþkiler
"
Çankýrý,Ýl belediyesi,0376 212 14 00,Evet,Bilgi almak için yazýlý olarak baþvurmamýz gerektiðini söylediler. 
Çorum,Ýl belediyesi,0 (364) 225 08 10- ,Evet,"Ýþini kaybedenlere, ihtiyaç sahiplerine gýda paketi veriliyor. 
Yaþlýlarýnýn gýda paketleri evlerine gönderiliyor.
Engelliler ve yaþlýlara hijyen paketi veriliyor. 
Ýhtiyaç sahibi olan vatandaþlarýn su, doðalgaz faturlarý ödeniyor. 

"
Denizli,Ýl belediyesi,"444 85 20   
0 258 280 20 20
",evet,"Sosyal güvencesi olmayanlar için gýda yardýmý yapýlýyor. 
Nakit yardýmý sosyal yardýmlaþma vakfý tarafýndan yapýlýyor. "
